Address,Building Name,Zip Code,Bed,Bath,Avg SF,# Units,Mix %,Units Available 0 Units,Units Available 0 Percent,Avg Asking Rent/Unit,Avg Asking Rent/SF,Avg Effective Rent/Unit,Avg Effective Rent/SF,Concessions 0 %,Year Built,Year Renovated,Units,Lande (Acres),Vacancy %,Washer/Dryer,Walk in Closet,Hardwood/Vinyl Floor,Walk Score,Transit Score,10Mile Population,10Mile Median Household Income,Miles from Domain,Miles fom Downtown,
1700 E 4th St , Eastside Station,78702,1,1,560,50,15.20%,12,24.00%,"1,543.00",2.76,"1,528.00",2.73,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1700 E 4th St , Eastside Station,78702,1,1,612,51,15.50%,12,23.50%,"1,649.00",2.69,"1,633.00",2.67,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1700 E 4th St , Eastside Station,78702,1,1,629,23,7.00%,2,8.70%,"1,758.00",2.79,"1,740.00",2.77,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1700 E 4th St , Eastside Station,78702,1,1,774,57,17.30%,12,21.10%,"1,796.00",2.32,"1,778.00",2.30,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1700 E 4th St , Eastside Station,78702,1,1,778,74,22.40%,6,8.10%,"1,871.00",2.40,"1,852.00",2.38,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1700 E 4th St , Eastside Station,78702,1,1.5,"1,247",10,3.00%,6,60.00%,"2,426.00",1.95,"2,402.00",1.93,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1700 E 4th St , Eastside Station,78702,2,2,992,21,6.40%,6,28.60%,"2,337.00",2.36,"2,314.00",2.33,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1700 E 4th St , Eastside Station,78702,2,2,"1,017",8,2.40%,0,0.00%,"2,255.00",2.22,"2,233.00",2.20,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1700 E 4th St , Eastside Station,78702,2,2,"1,037",27,8.20%,14,51.90%,"2,521.00",2.43,"2,496.00",2.41,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1700 E 4th St , Eastside Station,78702,2,2,"1,228",9,2.70%,2,22.20%,"2,718.00",2.21,"2,691.00",2.19,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1000 E 5th St , Corazon,78702,0,1,523,12,4.70%,6,50.00%,"1,560.00",2.98,"1,550.00",2.96,0.70%,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,"20,785","86,269",12.1,1.5,
