Address,Building Name,Zip Code,Sub-Market,Bed,Bath,Avg SF,# Units,Mix %,Units Available - Units,Units Available - Percent,Avg Asking Rent/Unit,Avg Asking Rent/SF,Avg Effective Rent/Unit,Avg Effective Rent/SF,Concessions - %,Year Built,Year Renovated,Units,Land (Acres),Vacancy %,Washer/Dryer,Walk in Closet,Hardwood/Vinyl Floor,Balcony,Walk Score,Transit Score,1-Mile Population,1-Mile Median Household Income,Miles from Domain,Miles fom Downtown,,
6307 Bluff Springs Rd,Saratoga Ridge,78744,Bluff Springs MF,1,1,650,78,0.34,4,0.051,985,1.52,977,1.5,0.008,1995,,229,8.73,5.7,Yes in unit,1,1,1,55,47,26637,47099,19.22,7.18,,
6307 Bluff Springs Rd,Saratoga Ridge,78744,Bluff Springs MF,1,1,716,62,0.37,3,0.048,950,1.33,942,1.32,0.008,1995,,229,8.73,5.7,Yes in unit,1,1,1,55,47,26637,47099,19.22,7.18,,
6307 Bluff Springs Rd,Saratoga Ridge,78744,Bluff Springs MF,1,1,755,20,0.08,3,0.15,999,1.32,991,1.31,0.008,1995,,229,8.73,5.7,Yes in unit,1,1,1,55,47,26637,47099,19.22,7.18,,
6307 Bluff Springs Rd,Saratoga Ridge,78744,Bluff Springs MF,2,1,978,30,0.13,4,0.133,1220,1.25,1220,1.25,0,1995,,229,8.73,5.7,Yes in unit,1,1,1,55,47,26637,47099,19.22,7.18,,
6307 Bluff Springs Rd,Saratoga Ridge,78744,Bluff Springs MF,2,2,"1,116",39,0.17,8,0.205,1320,1.18,1320,1.18,0,1995,,229,8.73,5.7,Yes in unit,1,1,1,55,47,26637,47099,19.22,7.18,,
6503 Bluff Springs Rd,Mission Reilly Ridge,78744,Bluff Springs MF,1,1,570,96,0.32,6,0.063,797,1.4,797,1.4,0,1987,,300,12.3,6,Yes in unit,0,1,1,55,47,25772,47180,19.12,7.08,,
6503 Bluff Springs Rd,Mission Reilly Ridge,78744,Bluff Springs MF,1,1,630,72,0.24,2,0.028,886,1.41,886,1.41,0,1987,,300,12.3,6,Yes in unit,0,1,1,55,47,25772,47180,19.12,7.08,,
6503 Bluff Springs Rd,Mission Reilly Ridge,78744,Bluff Springs MF,1,1,716,48,0.16,6,0.125,815,1.14,815,1.14,0,1987,,300,12.3,6,Yes in unit,0,1,1,55,47,25772,47180,19.12,7.08,,
6503 Bluff Springs Rd,Mission Reilly Ridge,78744,Bluff Springs MF,2,2,991,84,0.28,6,0.071,1038,1.05,1038,1.05,0,1987,,300,12.3,6,Yes in unit,0,1,1,55,47,25772,47180,19.12,7.08,,
7100 Bluff Springs Rd,Bluff Springs Townhomes,78744,Bluff Springs MF,2,2.5,994,6,0.058,1,0.167,1099,1.11,1099,1.11,0,1985,,104,5.31,1.9,no,1,1,1,35,40,20306,47528,19.43,7.39,,
